wheel,timestamp,error
left,1588319925.39,-0.0542452316448
right,1588319925.4,-0.0499746171764
left,1588319925.4,-0.0540549715966
right,1588319925.41,-0.0498072080076
left,1588319925.41,-0.0538685619251
right,1588319925.42,-0.0496431387463
left,1588319925.42,-0.0536859212905
right,1588319925.43,-0.0494823362627
left,1588319925.43,-0.0535069693936
right,1588319925.44,-0.0493247321144
left,1588319925.44,-0.053331628947
left,1588319925.45,-0.053159825031
right,1588319925.45,-0.049170257648
right,1588319925.46,-0.0490188421308
left,1588319925.46,-0.0529914829465
left,1588319925.47,-0.0528265277258
right,1588319925.47,-0.048870416248
left,1588319925.48,-0.0526648885161
right,1588319925.48,-0.0487249167579
left,1588319925.49,-0.0525064971063
right,1588319925.49,-0.0485822835868
right,1588319925.5,-0.0484424520381
left,1588319925.5,-0.0523512846087
left,1588319925.51,-0.0521991813802
right,1588319925.51,-0.0483053552942
left,1588319925.52,-0.0520501203585
right,1588319925.52,-0.0481709324529
left,1588319925.53,-0.0519040394168
right,1588319925.53,-0.0480391292525
left,1588319925.54,-0.0517608758883
right,1588319925.54,-0.047909889255
left,1588319925.55,-0.0516205665984
right,1588319925.55,-0.0477831508159
left,1588319925.56,-0.0514830483029
right,1588319925.56,-0.0476588537144
left,1588319925.57,-0.0513482614372
right,1588319925.57,-0.0475369455381
left,1588319925.58,-0.0512161500003
right,1588319925.58,-0.0474173774814
left,1588319925.59,-0.0510866563457
right,1588319925.59,-0.0473000961765
left,1588319925.6,-0.0509597228064
right,1588319925.6,-0.0471850444896
right,1588319925.61,-0.0470721688284
left,1588319925.61,-0.0508352931611
left,1588319925.62,-0.050713313729
right,1588319925.62,-0.0469614226672
right,1588319925.63,-0.0468527616105
left,1588319925.63,-0.0505937334606
right,1588319925.64,-0.0467461365227
left,1588319925.64,-0.0504764997784
right,1588319925.65,-0.046641495818
left,1588319925.65,-0.0503615610074
right,1588319925.66,-0.0465387925014
left,1588319925.66,-0.0502488668701
right,1588319925.67,-0.0464379828875
left,1588319925.67,-0.0501383689416
right,1588319925.68,-0.0463390259707
left,1588319925.68,-0.0500300198806
right,1588319925.69,-0.0462418779724
left,1588319925.69,-0.0499237724618
left,1588319925.7,-0.0498195808355
right,1588319925.7,-0.0461464933885
left,1588319925.71,-0.0497174001639
