wheel,timestamp,state
right,1588322445.3,-0.781486914967
left,1588322445.3,-0.779037516364
right,1588322445.31,-0.781690033229
left,1588322445.31,-0.779263477416
right,1588322445.32,-0.781889117285
left,1588322445.32,-0.77948495576
right,1588322445.33,-0.782084250301
left,1588322445.33,-0.779702041596
right,1588322445.34,-0.782275508342
left,1588322445.34,-0.779914821857
right,1588322445.35,-0.782462969875
left,1588322445.35,-0.780123384169
right,1588322445.36,-0.782646714599
left,1588322445.36,-0.780327814658
right,1588322445.37,-0.782826819265
left,1588322445.37,-0.780528196847
left,1588322445.38,-0.780724610162
right,1588322445.38,-0.783003356257
left,1588322445.39,-0.780917133763
right,1588322445.39,-0.783176396167
left,1588322445.4,-0.781105846089
right,1588322445.4,-0.783346010152
left,1588322445.41,-0.781290824299
 right,1588322445.41,-0.783512268204
right,1588322445.42,-0.783675239555
left,1588322445.42,-0.78147214521
right,1588322445.43,-0.753686830684
 left,1588322445.43,-0.754650414855
left,1588322445.44,-0.729715509665
right,1588322445.44,-0.728563625002
right,1588322445.45,-0.700175311036
left,1588322445.45,-0.701914730723
right,1588322445.46,-0.671669044561
left,1588322445.46,-0.673947339131
right,1588322445.47,-0.643257800851
left,1588322445.47,-0.64609783098
right,1588322445.48,-0.614964450571
left,1588322445.48,-0.618394062277
left,1588322445.49,-0.590820737973
right,1588322445.49,-0.586781625561
right,1588322445.5,-0.558802403801
left,1588322445.5,-0.563443374364
left,1588322445.51,-0.536387709482
right,1588322445.51,-0.531135661743
left,1588322445.52,-0.509660151825
right,1588322445.52,-0.503812129849
left,1588322445.53,-0.483392584947
right,1588322445.53,-0.476985758237
right,1588322445.54,-0.450690720293
left,1588322445.54,-0.457587378102
right,1588322445.55,-0.42491666724
left,1588322445.55,-0.432233208408
right,1588322445.56,-0.399653407837
left,1588322445.56,-0.407331606361
right,1588322445.57,-0.374890747989
left,1588322445.57,-0.382895648819
right,1588322445.58,-0.3506186244
left,1588322445.58,-0.358930462103
right,1588322445.59,-0.326827435767
left,1588322445.59,-0.33543286657
right,1588322445.6,-0.303507731399
left,1588322445.6,-0.312391123671
right,1588322445.61,-0.280650022077
left,1588322445.61,-0.289791196608
right,1588322445.62,-0.258245279822
 left,1588322445.62,-0.267619744697
right,1588322445.63,-0.236284542362
 left,1588322445.63,-0.245865390877
right,1588322445.64,-0.21475847174
 left,1588322445.64,-0.224507866796
right,1588322445.65,-0.19365910548
left,1588322445.65,-0.203557584983
left,1588322445.66,-0.183006918212
 right,1588322445.66,-0.172977961473
right,1588322445.67,-0.152706989401
left,1588322445.67,-0.162843763537
right,1588322445.68,-0.132837768613
left,1588322445.68,-0.143053561962
left,1588322445.69,-0.123634299712
