throttle,steering,rpm
0.600000023842,-0.1875,11186.987381
1.0,-0.0625,11231.044449
1.38777878078e-16,0.1875,11101.07868
0.20000000298,0.1875,11114.7405441
1.38777878078e-16,0.1875,11331.1139352
0.899999976158,0.1875,11546.8727073
1.38777878078e-16,0.1875,11252.3872833
0.20000000298,0.125,11012.1614845
0.20000000298,0.125,10957.0790114
1.38777878078e-16,0.0625,10869.716611
1.0,0.0625,10882.5810368
1.0,-0.125,10989.1824122
1.0,-0.125,11069.1392064
1.0,0.0,11020.0984771
1.0,0.0,11120.4502515
1.38777878078e-16,0.1875,10948.3692234
1.0,0.125,11072.0105847
1.38777878078e-16,0.0625,11101.0929981
1.38777878078e-16,0.0625,11004.0119158
1.38777878078e-16,0.1875,11018.7670422
0.5,0.25,10858.058651
0.40000000596,0.25,10889.0041952
1.0,0.25,11367.8541013
0.300000011921,0.1875,10907.1963918
1.38777878078e-16,0.1875,12540.8017379
1.38777878078e-16,0.125,10707.2625988
0.10000000149,0.0625,10889.6816842
1.38777878078e-16,0.125,10542.1818561
0.20000000298,0.0,10645.9122022
1.0,-0.1875,12489.428579
0.800000011921,-0.0625,10665.1383553
1.38777878078e-16,0.0625,10783.0089567
0.899999976158,0.25,10534.7126643
1.38777878078e-16,0.3125,12501.9474289
1.0,0.1875,12577.7874442
0.40000000596,0.25,12695.7473432
1.38777878078e-16,0.375,11114.2293942
1.38777878078e-16,0.0625,10562.668186
1.38777878078e-16,-1.0,10464.4587396
1.0,-0.875,10652.4605907
0.600000023842,0.1875,10534.4408537
0.699999988079,0.5625,10440.1271316
1.38777878078e-16,0.875,10298.2234607
0.300000011921,0.5,12180.8601506
0.5,0.5,10067.6894174
1.38777878078e-16,0.4375,11473.8308692
0.5,0.5,10027.0005565
0.40000000596,0.875,9842.498373
0.699999988079,0.9375,11812.2641511
0.5,0.9375,9769.01267828
0.10000000149,0.875,11931.3081201
0.300000011921,0.875,10010.302413
0.800000011921,0.875,11070.3414688
1.0,0.625,11716.5132102
1.0,0.625,12123.3215774
1.0,0.875,11621.221818
0.600000023842,0.875,9829.64654196
1.0,0.625,11293.0327058
1.38777878078e-16,0.6875,11798.5985615
1.0,0.3125,10390.8385454
1.0,0.3125,11894.9835506
1.0,0.3125,10376.3326809
0.300000011921,0.6875,12030.0482385
1.38777878078e-16,0.75,11468.7421585
1.0,0.5,9997.16043595
1.38777878078e-16,0.1875,11678.6337268
1.0,0.0625,11431.7258469
1.38777878078e-16,0.125,10212.9450913
0.5,0.1875,11676.0951178
1.0,0.1875,9989.19601161
1.38777878078e-16,0.25,11329.6438851
0.40000000596,0.25,11476.4162719
0.40000000596,0.1875,9924.83467814
1.0,0.0625,11790.1722989
1.0,0.0625,10043.4122207
1.0,0.0625,10088.9520516
1.0,0.0625,11851.3438832
1.0,0.0625,11926.8112068
1.0,0.0625,11573.8613742
1.38777878078e-16,0.0625,10094.6273224
1.38777878078e-16,0.0625,10127.9002974
1.38777878078e-16,0.0625,11601.6270093
0.899999976158,0.0625,10074.6015706
1.0,0.0625,12032.0613494
1.0,0.0,10251.3057469
1.0,0.0,11652.4830124
1.0,0.0,11788.1672632
0.40000000596,0.0,10301.9885016
1.0,0.0625,10426.1318634
1.0,0.0625,10483.4909403
1.0,0.0625,10504.065223
1.0,0.0,10498.9125196
0.300000011921,0.0,10457.2947446
1.38777878078e-16,0.125,10333.8573878
0.300000011921,0.0,10400.6506879
1.0,0.0,10405.0198521
1.38777878078e-16,0.0,10352.0588929
0.600000023842,0.0,10298.0545019
1.0,0.0,10349.3847132
0.300000011921,0.0625,10332.5499096
0.800000011921,0.0625,10386.9443067
0.300000011921,0.125,10403.538337
1.0,0.0625,10244.5783199
0.20000000298,0.0,10294.4149298
1.0,0.0,10345.8785546
0.20000000298,0.0,10296.1382522
0.300000011921,0.0625,10739.4890321
0.5,0.0,10182.6186841
1.0,-0.0625,10277.9148333
1.0,-0.0625,10258.5446451
1.0,-0.0625,10343.6916599
1.0,0.0,10324.8274471
1.0,0.0,10469.8815105
1.0,0.25,10607.3488063
1.0,0.25,10694.5713655
1.0,-0.0625,10629.1406535
1.0,-0.0625,10665.5094694
1.38777878078e-16,0.0625,10652.1816185
1.0,0.125,10764.8592801
0.300000011921,0.125,12722.4886115
1.0,0.0,10520.005436
0.699999988079,0.0,10600.632026
1.38777878078e-16,0.0625,10845.4002946
1.38777878078e-16,0.125,10389.8312266
1.0,0.0,10474.8814197
1.0,0.0,10657.1700703
1.0,0.0,10711.8342368
0.899999976158,0.0625,10827.6435326
0.800000011921,0.0625,10518.5758899
0.40000000596,0.125,10605.3544506
0.899999976158,0.1875,11170.3270491
1.38777878078e-16,0.1875,11171.9902419
0.899999976158,0.125,10992.8860844
1.38777878078e-16,0.0625,10692.0325887
1.38777878078e-16,-0.5,10763.4223919
1.0,0.0,10777.6941659
1.0,0.0625,10803.1979054
0.20000000298,0.125,10835.2613742
1.0,0.0,10791.53938
1.0,0.0,10819.9372278
0.5,-0.0625,10869.484041
0.600000023842,0.125,10742.320736
0.800000011921,0.125,10846.8667842
1.38777878078e-16,0.25,10517.6177163
0.40000000596,0.25,10921.4864144
1.38777878078e-16,0.3125,10923.599887
0.20000000298,0.3125,10301.7887312
1.38777878078e-16,0.6875,12312.9480336
1.38777878078e-16,0.375,12845.381494
1.38777878078e-16,0.4375,10641.0797197
1.38777878078e-16,0.75,12317.8077534
1.38777878078e-16,0.5625,12449.7402571
1.0,0.5625,10259.3548629
1.38777878078e-16,0.625,11271.0570959
1.38777878078e-16,0.75,10228.7461641
1.38777878078e-16,0.9375,9895.2966082
1.0,0.8125,12011.6952414
1.0,0.8125,10173.9139376
0.5,0.8125,11968.9282719
1.0,0.875,9986.38624047
1.0,0.9375,12189.5434553
1.0,1.0,11754.8898083
1.0,0.875,12377.6799607
0.40000000596,0.9375,10765.3649998
0.300000011921,0.875,10257.7451826
0.800000011921,0.875,12008.9118945
1.0,1.0,9578.26566014
1.0,1.0,11894.1024981
0.20000000298,1.0,12614.5590443
1.38777878078e-16,0.8125,11982.335679
0.20000000298,1.0,12173.0986075
1.38777878078e-16,1.0,11036.7940107
1.38777878078e-16,0.5625,11983.7579909
1.38777878078e-16,0.6875,12471.6765261
1.0,0.8125,12092.6625853
0.5,0.5,8796.22289344
1.0,0.25,12537.8919795
0.5,0.0625,12317.076981
1.0,-0.0625,12403.1717326
1.0,-0.0625,10010.1108382
1.0,-0.1875,11925.8752773
1.0,-0.1875,10401.5375966
1.0,-0.3125,10511.4402406
1.0,-0.3125,9703.33451662
1.0,-0.1875,12622.9672718
1.38777878078e-16,-0.3125,12408.3927385
1.0,-0.25,10631.5977331
1.38777878078e-16,-0.25,12354.2787951
1.0,-0.0625,10391.4149568
1.0,-0.1875,10522.7251887
1.0,0.0,10768.5357702
0.40000000596,0.0625,11841.1798268
1.38777878078e-16,0.125,10606.0185746
1.0,0.0,10607.2740916
1.0,0.0,10748.0271554
1.0,0.0,11764.5657798
1.0,0.0625,10810.4395487
1.0,0.0625,10893.2445812
0.800000011921,0.0625,10984.5402516
1.0,0.0,10975.4369393
1.0,0.0,11019.4357677
1.0,0.0,11065.9328077
1.0,0.0625,11080.2779221
1.0,0.125,11073.9784515
1.0,0.125,11523.2456486
1.0,0.5,11833.9404724
1.0,0.375,11379.8987073
1.38777878078e-16,0.25,11567.790722
0.300000011921,0.3125,12429.4512636
1.0,0.25,12534.263962
1.38777878078e-16,0.1875,11240.9573607
1.38777878078e-16,0.125,11144.1514843
1.0,0.125,11188.4415974
1.38777878078e-16,0.125,11112.4815722
1.38777878078e-16,0.1875,10909.9206462
1.38777878078e-16,0.1875,12771.2656489
0.40000000596,0.1875,11019.5174676
0.899999976158,0.1875,11053.6875899
1.38777878078e-16,0.125,11650.4170068
1.38777878078e-16,0.125,10994.8253375
1.38777878078e-16,0.125,10825.0226007
0.899999976158,0.125,13235.468888
1.0,0.0,11002.1203545
1.38777878078e-16,0.0625,11003.9416988
1.0,0.0,13197.8706358
1.38777878078e-16,0.0625,10904.6414024
1.38777878078e-16,0.3125,11205.326627
0.899999976158,0.125,10905.5883386
0.899999976158,0.1875,11180.7070117
1.0,0.1875,11424.8134862
1.0,0.1875,11104.2273561
