time,throttle_input,steering_angle_input,x,y,heading_angle,speed,slip_angle,yaw_rate,motor_rpm,estimated_longitudinal_slip
1588011460.76,1.0,0.25,-7.09566395485,1.31468745366,0.699386542082,3.582637582,0.697786272887,0.348365736096,12229.007636,0.702149345198
1588011460.8,1.0,0.0,-6.98645228603,1.40838004269,0.720781054032,3.60279347851,0.71937218264,0.604339142766,13316.4448747,0.843139688371
1588011460.84,1.0,-0.0625,-6.98645228603,1.40838004269,0.720781054032,3.60279347851,0.71937218264,0.604339142766,13950.0422832,0.930836407807
1588011460.88,0.20000000298,0.0,-6.7211180785,1.65485305076,0.769195628431,3.62967224266,0.769315331004,0.164732552852,12361.1690527,0.698249357298
1588011460.92,1.38777878078e-16,0.125,-6.51353329323,1.85794534398,0.78290975186,3.60908989615,0.781340292692,0.375453413018,12381.9282489,0.710802619474
1588011460.96,1.0,0.125,-6.51353329323,1.85794534398,0.78290975186,3.60908989615,0.781340292692,0.375453413018,14283.3123069,0.973515563824
1588011461.0,0.40000000596,0.125,-6.4624754185,1.90916981835,0.791515493157,3.63087685321,0.790025212111,0.398538372008,12285.5751981,0.687303853479
1588011461.04,1.38777878078e-16,0.125,-6.4117572332,1.96093017806,0.799529735831,3.61799066515,0.798467148208,0.365715409881,12260.8752806,0.68990914436
1588011461.08,0.5,0.0625,-6.31143847235,2.06564655377,0.814646238872,3.62017439734,0.814926535432,0.379460809837,14335.1457568,0.974612781029
1588011461.12,1.0,0.0625,-6.21308697368,2.17144034879,0.829347855416,3.60694640092,0.829680364662,0.318110483737,12273.8659061,0.696879522365
1588011461.16,1.38777878078e-16,-0.125,-6.0693237643,2.33122499366,0.844362627741,3.56562522747,0.844797852177,0.0773411317976,12251.0274368,0.713350209163
1588011461.2,1.0,-0.0625,-5.88047298418,2.54547435295,0.849105841424,3.5485514364,0.849180388954,-0.173512979393,13661.4319074,0.919793161431
1588011461.24,1.0,0.0,-5.78627133871,2.65211875182,0.847674383998,3.57726466445,0.847700170111,-0.00086823351154,12282.2266724,0.712124566175
1588011461.28,1.0,0.0625,-5.69161592421,2.75971481803,0.852894928105,3.61382797817,0.852853808991,0.207916355267,14071.7443723,0.941734220245
1588011461.32,0.899999976158,0.0625,-5.64440852515,2.81402127015,0.85628848237,3.59614946706,0.855720798776,0.302281930555,12287.6117016,0.703880246383
1588011461.36,0.899999976158,0.0625,-5.59746980136,2.86857979352,0.864720260394,3.61580484786,0.8636393211,0.401656935863,14471.9722439,0.995869132008
1588011461.4,1.0,0.0,-5.50429346603,2.97943179853,0.878783981939,3.62814109262,0.877964498617,0.324035719779,12437.7458165,0.709491054843
1588011461.44,0.600000023842,0.0,-5.36681732498,3.14838374659,0.896321230771,3.64212380592,0.895168131676,0.168493234647,12430.210637,0.701896349431
1588011461.48,0.300000011921,-0.0625,-5.36681732498,3.14838374659,0.896321230771,3.64212380592,0.895168131676,0.168493234647,13986.5022966,0.914977782356
1588011461.52,1.0,0.0,-5.18620724245,3.37452628854,0.898143391861,3.61285137483,0.896995574661,-0.015810548738,13788.6654581,0.903186998163
1588011461.56,1.38777878078e-16,0.0625,-5.0962622312,3.48655107968,0.891272349867,3.59780566641,0.891224600897,0.00516960159221,12389.9958329,0.717286603821
1588011461.6,0.10000000149,0.0625,-5.00589696958,3.5985801449,0.893482394565,3.58742739051,0.893448514407,0.286046170708,13435.5093749,0.867584839645
1588011461.64,0.600000023842,0.0,-4.96108374829,3.65463176729,0.898402245869,3.59218821606,0.898633773581,0.183658920939,12238.8092719,0.698984458736
1588011461.68,1.0,0.0,-4.91641186515,3.71099219017,0.904340192507,3.60092391624,0.904685626475,0.3914848345,13736.8671825,0.902317824309
1588011461.72,1.0,0.0,-4.82824760367,3.8247888391,0.916004457342,3.56743403949,0.916001777592,0.0368853205661,12324.5563833,0.722759554952
1588011461.76,1.38777878078e-16,-0.0625,-4.69785551961,3.99464296918,0.916963601288,3.5869776408,0.916522394592,0.12048761703,12281.6160214,0.707403506353
1588011461.8,1.0,0.0,-4.52372014051,4.22184670838,0.912953968494,3.56742062151,0.913316329102,-0.243820423971,12354.4514579,0.726944864133
1588011461.84,1.0,0.0,-4.47993943803,4.27820036831,0.908650474084,3.56513138765,0.908016778617,-0.0585090603242,12377.384871,0.731261530449
1588011461.88,1.0,0.0,-4.43589277542,4.33468932695,0.908285048849,3.58364829822,0.908231633196,-0.0103641365336,12439.4462887,0.730951866411
1588011461.92,1.0,0.0,-4.34742010488,4.44794658013,0.906692760288,3.60041544543,0.906713856679,-0.0373371176158,12489.202392,0.729782147903
1588011461.96,1.0,0.0625,-4.16875669296,4.675540244,0.903609065911,3.63165831784,0.903256630933,-0.0313417554577,12530.3722674,0.720554031299
1588011462.0,1.0,0.0625,-4.07889072142,4.78995333816,0.909178205627,3.64402732171,0.908905866212,0.207669674646,12639.8203118,0.729691291104
1588011462.04,1.38777878078e-16,0.5,-3.98959612631,4.90562651075,0.917854613166,3.6640916807,0.917678641705,0.212973515766,12700.4078199,0.728465271848
1588011462.08,1.38777878078e-16,0.5,-3.9453664129,4.9637844984,0.922457718816,3.64291739167,0.92254498802,0.383558359894,12107.6707185,0.657374304836
1588011462.12,0.600000023842,0.5,-3.90153528496,5.02215194839,0.932177728842,3.65534191491,0.930921664876,0.569023427058,14038.2889807,0.915117809675
1588011462.16,0.20000000298,0.5,-3.73471868825,5.25973868709,0.989630443583,3.63208120535,0.989727470614,0.86029583378,14277.1672116,0.960179393515
1588011462.2,1.38777878078e-16,0.5625,-3.73471868825,5.25973868709,0.989630443583,3.63208120535,0.989727470614,0.86029583378,12956.9980373,0.778927162371
1588011462.24,1.38777878078e-16,0.625,-3.65736102618,5.38203222944,1.02469921504,3.61671076804,1.02426040446,0.933568859107,12672.6403697,0.747280597977
1588011462.28,1.38777878078e-16,0.5625,-3.55062038307,5.56986915288,1.08706379597,3.59502132478,1.084748195,1.17648119359,13178.0250112,0.827924188774
1588011462.32,0.20000000298,0.5625,-3.43059109792,5.82765068428,1.18686085236,3.55045528493,1.17812409336,1.46438450436,14602.2118807,1.05089733923
1588011462.36,1.38777878078e-16,0.625,-3.43059109792,5.82765068428,1.18686085236,3.55045528493,1.17812409336,1.46438450436,13946.230866,0.958764056374
1588011462.4,1.38777878078e-16,0.75,-3.40488463653,5.89338918719,1.21512802517,3.532334008,1.20957720583,1.40618679616,12566.2110207,0.773993029739
1588011462.44,1.38777878078e-16,0.875,-3.38116732816,5.95991528253,1.24393520023,3.54060376675,1.23929411984,1.45863205231,11534.3258071,0.624516814431
1588011462.48,0.20000000298,0.625,-3.33915985107,6.09537836169,1.30026123897,3.53288130848,1.29845597492,1.49220231206,12887.988655,0.8191370592
1588011462.52,0.40000000596,0.5625,-3.30516118574,6.23254232486,1.35672013395,3.51149200347,1.3539685276,1.40727377349,13520.250402,0.920005065621
1588011462.56,1.38777878078e-16,0.75,-3.26982413243,6.43901080542,1.4538477204,3.45984161189,1.45450068567,1.45234979193,11446.2335574,0.649740776264
1588011462.6,1.38777878078e-16,0.9375,-3.2510090449,6.71669709831,1.54961887802,3.50114869777,1.54585730935,1.20229990325,13852.2062084,0.972957431751
1588011462.64,1.0,0.9375,-3.25123443729,6.85660055691,1.59881166467,3.495835836,1.59194259717,1.38069904946,13478.4096033,0.922635440292
1588011462.68,1.38777878078e-16,1.0,-3.25890863389,6.99606728081,1.65219487245,3.48001556306,1.65266629391,1.24169353509,13951.246739,0.999130553479
1588011462.72,1.38777878078e-16,0.9375,-3.26544866729,7.06556147478,1.67886411367,3.50639503798,1.67301487666,1.3516139373,13110.7190593,0.864554110909
1588011462.76,1.38777878078e-16,1.0,-3.27394531222,7.13520108812,1.70737831422,3.50249039982,1.70432539346,1.50055811824,12026.3842254,0.712251062871
1588011462.8,1.38777878078e-16,1.0,-3.31200389459,7.3415828766,1.80289721432,3.46721074809,1.8030010866,1.51009649291,13698.7091982,0.970192807935
1588011462.84,0.5,1.0,-3.31200389459,7.3415828766,1.80289721432,3.46721074809,1.8030010866,1.51009649291,13305.4208584,0.913628802718
1588011462.88,1.38777878078e-16,1.0,-3.39219163197,7.60520527815,1.93154226666,3.41815621592,1.92863428764,1.48896082659,11324.4236454,0.652089322162
1588011462.92,1.38777878078e-16,0.9375,-3.44422300992,7.73144611509,1.99121433057,3.42242150646,1.99280924553,1.35342434442,11595.8173003,0.689573896039
1588011462.96,0.899999976158,0.9375,-3.50316025433,7.85384082868,2.04908656377,3.41405543871,2.0497015266,1.16245925555,13854.2160586,1.0235815469
1588011463.0,1.0,0.9375,-3.53508617468,7.91364130783,2.07539601021,3.36843514204,2.07466124153,1.30768306117,12295.5875662,0.820247405679
1588011463.04,1.38777878078e-16,1.0,-3.56836780829,7.9720815374,2.10330398709,3.38915009521,2.10347052369,1.34636780055,11001.9217027,0.618777168012
1588011463.08,0.5,1.0,-3.75938776808,8.24993204444,2.24567689596,3.3946210355,2.2447201829,1.36432333232,10948.374172,0.608302202164
1588011463.12,0.20000000298,0.9375,-3.89230502633,8.40205130934,2.33308492275,3.37564182348,2.33036463826,1.1834607754,13133.3206678,0.940115174369
1588011463.16,0.300000011921,0.9375,-3.93915850044,8.44998298952,2.35978037355,3.34473142928,2.35732873323,1.31045663203,11191.4001798,0.668524152308
1588011463.2,1.38777878078e-16,0.8125,-3.98747703344,8.49667523543,2.38724226121,3.36852880054,2.38860417208,1.26482855296,13477.6475754,0.995184922752
1588011463.24,0.600000023842,0.75,-4.03678985036,8.54183895256,2.41449450667,3.33766349511,2.4132197184,1.34192206066,11980.8057071,0.789999046917
1588011463.28,1.38777878078e-16,0.875,-4.13872742352,8.62777305305,2.46839479454,3.33073478549,2.46510172781,1.24626946362,11067.0997966,0.656925938368
